Gender,SeniorCitizen,Partner,Dependents,Tenure,PhoneService,InternetService,MonthlyCharges,TotalCharges,Churn
Male,0,Yes,Yes,18,Yes,No,95.7,1798.34,No
Male,0,Yes,No,22,No,No,70.73,1637.01,No
Male,0,No,Yes,68,Yes,No,76.02,5224.94,No
Female,0,No,No,12,Yes,Fiber optic,32.36,450.75,No
Female,0,Yes,No,57,No,Fiber optic,104.5,6033.41,No
Male,0,Yes,Yes,27,No,DSL,113.39,3081.65,No
Female,0,No,Yes,51,No,DSL,86.11,4422.82,Yes
Female,1,No,No,18,No,Fiber optic,75.64,1454.51,No
Female,0,No,Yes,15,No,Fiber optic,53.78,859.95,Yes
Female,1,No,Yes,43,No,Fiber optic,77.57,3375.18,No
Female,1,No,No,22,Yes,DSL,90.5,1991.83,No
Female,0,Yes,No,12,No,DSL,83.48,1013.72,Yes
Female,1,No,Yes,31,Yes,No,41.17,1298.83,No
Male,0,No,Yes,10,No,DSL,45.38,534.23,Yes
Female,1,Yes,Yes,56,No,DSL,58.61,3372.37,No
Female,1,Yes,Yes,40,No,No,94.47,3846.21,No
Male,0,No,No,35,No,DSL,119.21,4192.27,No
Male,1,No,Yes,2,Yes,DSL,108.05,312.77,No
Male,1,No,No,36,No,DSL,52.39,1947.49,Yes
Male,1,Yes,No,67,No,DSL,63.5,4257.5,Yes
Female,1,Yes,No,61,No,DSL,26.67,1686.5,Yes
Female,1,Yes,No,26,Yes,Fiber optic,33.96,882.99,Yes
Male,1,Yes,Yes,34,Yes,No,88.0,3049.29,Yes
Male,1,Yes,No,4,Yes,Fiber optic,34.36,222.84,Yes
Female,1,Yes,No,71,No,DSL,96.76,6962.59,No
Female,0,No,Yes,35,No,Fiber optic,113.0,4010.19,Yes
Female,1,No,Yes,3,Yes,DSL,113.8,436.63,No
Male,0,No,No,57,Yes,Fiber optic,106.59,6085.38,No
Male,0,No,Yes,65,No,DSL,47.63,3125.18,Yes
Male,0,Yes,No,25,No,No,99.8,2571.11,Yes
Male,0,Yes,Yes,27,Yes,Fiber optic,48.72,1381.81,No
